File created automatically by script spectrum_reduce.py on 2020-21-18T20:01:58Z
Wav(um) Flux(10W/m/cm2) Error(W/m2)
2.0768e+00 2.6219e-04 1.9315e-04
2.0770e+00 1.9384e-04 1.5379e-04
2.0773e+00 1.9667e-04 1.4850e-04
2.0776e+00 2.3247e-04 1.6163e-04
2.0778e+00 2.3586e-04 1.4680e-04
2.0781e+00 2.4050e-04 1.4173e-04
2.0784e+00 2.5538e-04 1.4610e-04
2.0786e+00 2.4523e-04 1.4829e-04
2.0789e+00 2.3225e-04 1.3183e-04
2.0792e+00 1.9848e-04 1.8299e-04
2.0794e+00 1.9223e-04 1.3396e-04
2.0797e+00 2.3858e-04 1.5528e-04
2.0799e+00 2.6091e-04 1.3786e-04
2.0802e+00 2.7739e-04 1.5237e-04
2.0805e+00 2.4268e-04 1.4364e-04
2.0807e+00 2.8037e-04 1.3443e-04
2.0810e+00 2.7862e-04 1.2986e-04
2.0813e+00 2.7346e-04 1.4229e-04
2.0815e+00 2.6421e-04 1.3530e-04
2.0818e+00 2.1734e-04 1.3270e-04
2.0821e+00 2.3411e-04 5.8541e-04
2.0823e+00 2.3063e-04 1.4665e-04
2.0826e+00 2.2649e-04 1.5777e-04
2.0829e+00 1.9544e-04 1.9124e-04
2.0831e+00 1.9973e-04 1.3355e-04
2.0834e+00 2.5951e-04 1.3526e-04
2.0836e+00 2.8095e-04 2.0076e-04
2.0839e+00 2.7758e-04 1.5767e-04
2.0842e+00 2.3043e-04 1.4802e-04
2.0844e+00 3.3734e-04 1.4645e-04
2.0847e+00 2.5225e-04 1.4632e-04
2.0850e+00 2.1847e-04 1.6254e-04
2.0852e+00 2.2289e-04 1.3843e-04
2.0855e+00 2.4410e-04 1.4018e-04
2.0858e+00 2.8352e-04 1.5000e-04
2.0860e+00 2.2268e-04 1.3208e-04
2.0863e+00 2.6848e-04 1.4379e-04
2.0866e+00 2.6908e-04 1.3496e-04
2.0868e+00 2.4352e-04 1.5895e-04
2.0871e+00 2.1972e-04 1.5323e-04
2.0873e+00 2.2749e-04 1.3740e-04
2.0876e+00 2.2333e-04 1.3230e-04
2.0879e+00 2.4134e-04 1.6615e-04
2.0881e+00 2.4051e-04 1.3554e-04
2.0884e+00 3.0267e-04 1.5403e-04
2.0887e+00 2.7189e-04 1.3749e-04
2.0889e+00 2.4939e-04 1.3630e-04
2.0892e+00 2.4898e-04 1.4650e-04
2.0895e+00 2.2774e-04 1.4387e-04
2.0897e+00 2.6242e-04 1.3725e-04
2.0900e+00 2.1856e-04 2.2720e-04
2.0903e+00 2.6612e-04 2.1033e-04
2.0905e+00 2.5154e-04 1.2741e-04
2.0908e+00 2.3498e-04 1.8210e-04
2.0910e+00 2.2509e-04 1.3940e-04
2.0913e+00 2.5599e-04 1.3177e-04
2.0916e+00 1.8847e-04 1.4240e-04
2.0918e+00 2.2632e-04 1.4021e-04
2.0921e+00 1.7684e-04 1.3368e-04
2.0924e+00 2.2253e-04 1.4733e-04
2.0926e+00 2.5301e-04 1.4114e-04
2.0929e+00 3.0932e-04 2.1257e-04
2.0932e+00 2.6287e-04 1.3068e-04
2.0934e+00 2.6869e-04 1.6988e-04
2.0937e+00 2.5987e-04 1.3235e-04
2.0940e+00 2.5775e-04 1.5582e-04
2.0942e+00 2.4465e-04 1.4895e-04
2.0945e+00 2.8007e-04 1.3038e-04
2.0947e+00 2.0831e-04 1.4034e-04
2.0950e+00 2.2681e-04 1.4114e-04
2.0953e+00 2.3162e-04 1.2623e-04
2.0955e+00 2.3667e-04 1.3872e-04
2.0958e+00 2.3263e-04 1.4094e-04
2.0961e+00 2.3878e-04 1.2687e-04
2.0963e+00 2.4044e-04 1.3683e-04
2.0966e+00 2.7116e-04 1.2667e-04
2.0969e+00 2.3902e-04 1.4184e-04
